region,keyword,id,name,employer,published_at,url,salary_from,salary_to,currency
Москва,data engineer,124461206,Стажер Data Engineer,СБЕР,2025-08-25T18:47:11+0300,https://hh.ru/vacancy/124461206,,,
Москва,data engineer,124543015,DevOps Engineer (Big Data / Data Engineering),TEAMSCORE,2025-08-27T12:41:56+0300,https://hh.ru/vacancy/124543015,,,
Москва,data engineer,124494435,Data Engineer,МТС Финтех,2025-08-28T11:06:24+0300,https://hh.ru/vacancy/124494435,,,
Москва,data engineer,124116380,Data Engineer,Онлайн-школа Тетрика,2025-08-27T15:13:31+0300,https://hh.ru/vacancy/124116380,,,
Москва,data engineer,124492950,Data Engineer,Деко Системс,2025-08-26T12:53:20+0300,https://hh.ru/vacancy/124492950,,,
Москва,data engineer,124453316,Data Engineer (офис),ИЦ АЙ-ТЕКО,2025-08-25T16:56:52+0300,https://hh.ru/vacancy/124453316,300000.0,380000.0,RUR
Москва,data engineer,124501841,Data Engineer,Ozon,2025-08-26T15:05:03+0300,https://hh.ru/vacancy/124501841,,,
Москва,data engineer,123746950,Data Engineer/ инженер данных,Мокка,2025-08-25T11:43:17+0300,https://hh.ru/vacancy/123746950,,,
Москва,data engineer,124445762,"Data Scientist / ML Engineer (маркетплейсы, CTR-модели, Computer Vision)",Богданов Денис Александрович,2025-08-28T15:01:56+0300,https://hh.ru/vacancy/124445762,250000.0,350000.0,RUR
Москва,data engineer,124187534,Data Engineer (ERP Data flow),билайн,2025-08-27T16:51:24+0300,https://hh.ru/vacancy/124187534,,,
Москва,data engineer,124581561,Data Engineer,Tripster,2025-08-28T10:39:36+0300,https://hh.ru/vacancy/124581561,,,
Москва,data engineer,124168879,"Data Engineer (middle, senior)",Делимобиль,2025-08-27T12:45:15+0300,https://hh.ru/vacancy/124168879,,,
Москва,data engineer,121044195,Data Engineer / Дата-инженер,Procter & Gamble,2025-08-28T14:28:45+0300,https://hh.ru/vacancy/121044195,200000.0,,RUR
Москва,data engineer,124555279,Старший Data Engineer,Cloud.ru,2025-08-27T15:56:32+0300,https://hh.ru/vacancy/124555279,,,
Москва,data engineer,124561125,Аналитик данных / Инженер данных/ Data Scientist / Data Analyst / Data engineer,СтандартПроект,2025-08-27T17:41:59+0300,https://hh.ru/vacancy/124561125,,,
Москва,data engineer,124580137,Инженер данных / Data Engineer (Middle),Челеби-Текстиль,2025-08-28T10:18:04+0300,https://hh.ru/vacancy/124580137,150000.0,,RUR
Москва,data engineer,124340536,Data Engineer (Big Data),Платформа ОФД,2025-08-27T17:26:27+0300,https://hh.ru/vacancy/124340536,,,
